[0]
subject_name ron
anim_name idle
frame_count 46
frame 0
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 1
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 2
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 3
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 4
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 5
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 6
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 7
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 8
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 9
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 10
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 11
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 12
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 13
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 14
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 15
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 16
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 17
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 18
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 19
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 20
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 21
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 22
hand_x -20.94718360900879
hand_y 5.150172233581543
frame 23
hand_x -20.978527069091797
hand_y 5.1687798500061035
frame 24
hand_x -20.978527069091797
hand_y 5.1687798500061035
frame 25
hand_x -20.978527069091797
hand_y 5.1687798500061035
frame 26
hand_x -20.978527069091797
hand_y 5.1687798500061035
frame 27
hand_x -20.978527069091797
hand_y 5.1687798500061035
frame 28
hand_x -20.978527069091797
hand_y 5.1687798500061035
frame 29
hand_x -20.978527069091797
hand_y 5.1687798500061035
frame 30
hand_x -21.14137077331543
hand_y 4.976425647735596
frame 31
hand_x -21.14137077331543
hand_y 4.976425647735596
frame 32
hand_x -21.14137077331543
hand_y 4.976425647735596
frame 33
hand_x -21.14137077331543
hand_y 4.976425647735596
frame 34
hand_x -21.14137077331543
hand_y 4.976425647735596
frame 35
hand_x -21.14137077331543
hand_y 4.976425647735596
frame 36
hand_x -21.14137077331543
hand_y 4.976425647735596
frame 37
hand_x -21.1142578125
hand_y 4.893359184265137
frame 38
hand_x -21.1142578125
hand_y 4.893359184265137
frame 39
hand_x -21.1142578125
hand_y 4.893359184265137
frame 40
hand_x -21.1142578125
hand_y 4.893359184265137
frame 41
hand_x -21.1142578125
hand_y 4.893359184265137
frame 42
hand_x -21.1142578125
hand_y 4.893359184265137
frame 43
hand_x -21.1142578125
hand_y 4.893359184265137
frame 44
hand_x -21.1142578125
hand_y 4.893359184265137
frame 45
hand_x -20.948780059814453
hand_y 5.150580883026123
