[0]
subject_name ron
anim_name sprint
frame_count 23
frame 0
hand_x -6.980535507202148
hand_y -18.271625518798828
frame 1
hand_x -6.980535507202148
hand_y -18.271625518798828
frame 2
hand_x -6.980535507202148
hand_y -18.271625518798828
frame 3
hand_x 1.471612811088562
hand_y -17.705568313598633
frame 4
hand_x 1.471612811088562
hand_y -17.705568313598633
frame 5
hand_x 1.471612811088562
hand_y -17.705568313598633
frame 6
hand_x 4.411716938018799
hand_y -19.404321670532227
frame 7
hand_x 4.411716938018799
hand_y -19.404321670532227
frame 8
hand_x 4.411716938018799
hand_y -19.404321670532227
frame 9
hand_x -21.692764282226562
hand_y 0.39248335361480713
frame 10
hand_x -21.692764282226562
hand_y 0.39248335361480713
frame 11
hand_x -21.692764282226562
hand_y 0.39248335361480713
frame 12
hand_x -20.216398239135742
hand_y 2.232957601547241
frame 13
hand_x -20.216398239135742
hand_y 2.232957601547241
frame 14
hand_x -20.216398239135742
hand_y 2.232957601547241
frame 15
hand_x -17.641490936279297
hand_y -4.067439556121826
frame 16
hand_x -17.641490936279297
hand_y -4.067439556121826
frame 17
hand_x -17.641490936279297
hand_y -4.067439556121826
frame 18
hand_x -14.304387092590332
hand_y -15.109725952148438
frame 19
hand_x -14.304387092590332
hand_y -15.109725952148438
frame 20
hand_x -14.304387092590332
hand_y -15.109725952148438
frame 21
hand_x -8.089068412780762
hand_y -20.66006851196289
frame 22
hand_x -6.980535507202148
hand_y -18.271625518798828
